edge_id,edge_kind,from_id,predicate_id,to_id,layer,anchor_mode,anchor_start_secondary,anchor_end_secondary,anchor_segment_ids,witness_scope,connectivity_role,confidence,note
m119,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.return-as-action,supported_by,tos.state.thus-spoke-zarathustra.prologue.zarathustra-wants-to-become-human-again,distilled_principle,single,"1,1,1,11",,seg.1.1.1.11,de+ru+en,principle_support,1,возвращение удерживается как акт
m120,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.beginning-through-going-under,supported_by,tos.event.thus-spoke-zarathustra.prologue.beginning-of-zarathustra-going-under,distilled_principle,single,"1,1,1,12",,seg.1.1.1.12,de+ru+en,principle_support,1,
m121,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.solitude-as-ripening,leads_to,tos.principle.thus-spoke-zarathustra.prologue.wisdom-can-overfill,distilled_principle,multi,"1,1,1,1","1,1,1,5",seg.1.1.1.1|seg.1.1.1.5,de+ru+en,reasoning_bridge,1,созревание выводит к избытку
m122,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.overflow-can-be-received,prefigures,tos.principle.thus-spoke-zarathustra.prologue.excess-seeks-recipients,distilled_principle,multi,"1,1,1,4","1,1,1,6",seg.1.1.1.4|seg.1.1.1.5|seg.1.1.1.6,de+ru+en,reasoning_bridge,1,
m123,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.wisdom-can-overfill,leads_to,tos.principle.thus-spoke-zarathustra.prologue.excess-seeks-recipients,distilled_principle,multi,"1,1,1,5","1,1,1,6",seg.1.1.1.5|seg.1.1.1.6,de+ru+en,reasoning_bridge,1,
m124,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.excess-seeks-recipients,leads_to,tos.principle.thus-spoke-zarathustra.prologue.descent-is-required-by-gift,distilled_principle,multi,"1,1,1,5","1,1,1,7",seg.1.1.1.5|seg.1.1.1.6|seg.1.1.1.7,de+ru+en,reasoning_bridge,1,
m125,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.descent-is-required-by-gift,formalizes,tos.principle.thus-spoke-zarathustra.prologue.go-under-is-human-name,distilled_principle,multi,"1,1,1,7","1,1,1,8",seg.1.1.1.7|seg.1.1.1.8,de+ru+en,reasoning_bridge,1,
m126,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.tranquil-vision-without-envy,prepares,tos.principle.thus-spoke-zarathustra.prologue.reflected-light-can-be-carried,distilled_principle,multi,"1,1,1,9","1,1,1,10",seg.1.1.1.9|seg.1.1.1.10,de+ru+en,reasoning_bridge,1,
m127,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.reflected-light-can-be-carried,prepares,tos.principle.thus-spoke-zarathustra.prologue.return-as-action,distilled_principle,multi,"1,1,1,10","1,1,1,11",seg.1.1.1.10|seg.1.1.1.11,de+ru+en,reasoning_bridge,1,
m128,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.return-as-action,culminates_in,tos.principle.thus-spoke-zarathustra.prologue.beginning-through-going-under,distilled_principle,multi,"1,1,1,11","1,1,1,12",seg.1.1.1.11|seg.1.1.1.12,de+ru+en,reasoning_bridge,1,
